filename,target,label,length
positive_0521.npz,Kepler-0521,1,0
negative_0496.npz,KIC 0496,0,0
positive_1018.npz,Kepler-1018,1,0
positive_0221.npz,Kepler-0221,1,0
positive_0755.npz,Kepler-0755,1,0
negative_0623.npz,KIC 0623,0,0
positive_1087.npz,Kepler-1087,1,0
positive_1231.npz,Kepler-1231,1,0
positive_0163.npz,Kepler-0163,1,0
positive_0520.npz,Kepler-0520,1,0
positive_0607.npz,Kepler-0607,1,0
positive_1178.npz,Kepler-1178,1,0
negative_0599.npz,KIC 0599,0,0
negative_0147.npz,KIC 0147,0,0
positive_0757.npz,Kepler-0757,1,0
negative_0204.npz,KIC 0204,0,0
positive_0669.npz,Kepler-0669,1,0
positive_0906.npz,Kepler-0906,1,0
positive_1193.npz,Kepler-1193,1,0
positive_0782.npz,Kepler-0782,1,0
negative_0054.npz,KIC 0054,0,0
negative_0245.npz,KIC 0245,0,0
positive_1029.npz,Kepler-1029,1,0
positive_0579.npz,Kepler-0579,1,0
negative_0327.npz,KIC 0327,0,0
positive_0148.npz,Kepler-0148,1,0
positive_0802.npz,Kepler-0802,1,0
positive_0611.npz,Kepler-0611,1,0
negative_0344.npz,KIC 0344,0,0
negative_0148.npz,KIC 0148,0,0
positive_0396.npz,Kepler-0396,1,0
positive_1170.npz,Kepler-1170,1,0
positive_0870.npz,Kepler-0870,1,0
negative_0405.npz,KIC 0405,0,0
negative_0289.npz,KIC 0289,0,0
positive_0493.npz,Kepler-0493,1,0
negative_0231.npz,KIC 0231,0,0
positive_1165.npz,Kepler-1165,1,0
positive_0900.npz,Kepler-0900,1,0
positive_1007.npz,Kepler-1007,1,0
positive_0710.npz,Kepler-0710,1,0
negative_0155.npz,KIC 0155,0,0
negative_0296.npz,KIC 0296,0,0
negative_0182.npz,KIC 0182,0,0
positive_0808.npz,Kepler-0808,1,0
positive_0211.npz,Kepler-0211,1,0
positive_1068.npz,Kepler-1068,1,0
positive_0891.npz,Kepler-0891,1,0
positive_0902.npz,Kepler-0902,1,0
negative_0088.npz,KIC 0088,0,0
positive_0428.npz,Kepler-0428,1,0
positive_0452.npz,Kepler-0452,1,0
positive_0461.npz,Kepler-0461,1,0
positive_0998.npz,Kepler-0998,1,0
positive_0376.npz,Kepler-0376,1,0
negative_0304.npz,KIC 0304,0,0
positive_0031.npz,Kepler-0031,1,0
positive_0160.npz,Kepler-0160,1,0
positive_0387.npz,Kepler-0387,1,0
positive_0514.npz,Kepler-0514,1,0
negative_0495.npz,KIC 0495,0,0
positive_0282.npz,Kepler-0282,1,0
negative_0056.npz,KIC 0056,0,0
positive_1050.npz,Kepler-1050,1,0
positive_0226.npz,Kepler-0226,1,0
positive_1001.npz,Kepler-1001,1,0
positive_1163.npz,Kepler-1163,1,0
positive_0717.npz,Kepler-0717,1,0
negative_0003.npz,KIC 0003,0,0
positive_0629.npz,Kepler-0629,1,0
negative_0126.npz,KIC 0126,0,0
positive_0127.npz,Kepler-0127,1,0
