,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
"flux__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",0.04070213,-0.06068342,0.02764644,-0.06436606,-0.10230882,0.10886868,0.22301833,0.07067229,-0.052592307,0.038360983,0.07892194
"flux__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.04373943,-0.06995948,0.03409594,-0.07593313,-0.07633873,0.08630562,0.24160229,0.045522906,-0.05916717,0.034254275,0.076691896
"flux__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",0.039813824,-0.08605933,0.027913554,-0.04957206,-0.105002284,0.098216414,0.21130204,0.07067684,-0.036585607,0.035945185,0.07610872
flux__cid_ce__normalize_True,0.049092613,-0.054773685,0.08918751,-0.0172163,0.1432245,0.118485115,-0.07636472,0.05704054,0.009208694,0.124864936,0.07394586
"flux__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.043155655,-0.08911889,0.02707205,-0.04861292,-0.08880106,0.079868995,0.2141018,0.07670264,-0.044744987,0.019426756,0.073160574
"flux__agg_autocorrelation__f_agg_""median""__maxlag_40",-0.008982046,0.08955764,0.054014854,-0.013303166,-0.14633341,-0.12819701,0.085968964,-0.09738092,-0.013179982,-0.09017878,0.07270968
"flux__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",-0.014906542,0.015247267,-0.0017569948,-0.004826732,0.19182943,-0.15711433,0.14103623,0.14325617,0.017740749,-0.022461616,0.0710176
flux__autocorrelation__lag_1,-0.045302436,0.036405526,-0.10103464,-0.003285196,-0.13340995,-0.1085326,0.070358954,-0.054228716,-0.008600974,-0.128053,0.06892119
"flux__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",0.024150202,-0.048127465,0.023181256,-0.049007423,-0.1187685,0.1177579,0.16467929,0.062670134,-0.011600419,0.06880713,0.06887497
flux__autocorrelation__lag_5,-0.021870367,0.09322305,-0.020924864,0.004640426,-0.1632901,-0.13221957,0.05455926,-0.02783457,-0.045090377,-0.12104295,0.068469554
