kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
10797460,"K00752.01","CONFIRMED",9.48803557,170.53875
10797460,"K00752.02","CONFIRMED",54.4183827,162.51384
10811496,"K00753.01","CANDIDATE",19.89913995,175.850252
10848459,"K00754.01","FALSE POSITIVE",1.736952453,170.307565
10854555,"K00755.01","CONFIRMED",2.525591777,171.59555
10872983,"K00756.01","CONFIRMED",11.09432054,171.20116
10872983,"K00756.02","CONFIRMED",4.13443512,172.97937
10872983,"K00756.03","CONFIRMED",2.56658897,179.55437
6721123,"K00114.01","FALSE POSITIVE",7.36178958,132.25053
10910878,"K00757.01","CONFIRMED",16.06864674,173.621937
11446443,"K00001.01","CONFIRMED",2.470613377,122.763305
10666592,"K00002.01","CONFIRMED",2.204735417,121.3585417
6922244,"K00010.01","CONFIRMED",3.522498429,121.1194228
10984090,"K00112.02","CONFIRMED",3.709214104,133.98318
10419211,"K00742.01","FALSE POSITIVE",11.521446064,170.839688
10464078,"K00743.01","FALSE POSITIVE",19.40393776,172.484253
10480982,"K00744.01","FALSE POSITIVE",19.221388942,184.5521637
10485250,"K00745.01","FALSE POSITIVE",16.46983774,180.881761
10526549,"K00746.01","CONFIRMED",9.27358173,173.258155
10583066,"K00747.01","CONFIRMED",6.02930329,171.602959
10583180,"K00748.01","FALSE POSITIVE",2.696370652,170.73769
10601284,"K00749.01","CONFIRMED",5.349553819,171.80694
10601284,"K00749.02","CONFIRMED",3.94105221,136.08662
10601284,"K00749.03","CONFIRMED",8.10904807,132.8031
2306756,"K00113.01","FALSE POSITIVE",386.6030528,166.342079
10662202,"K00750.01","CONFIRMED",21.67699193,171.53594
10682541,"K00751.01","CONFIRMED",4.99677968,171.74208
11460018,"K00769.01","CONFIRMED",4.280963604,171.89659
11463211,"K00770.01","FALSE POSITIVE",1.50635409,170.998064
11465813,"K00771.01","FALSE POSITIVE",670.645531,209.04355
11493732,"K00772.01","FALSE POSITIVE",61.2563628,173.83826
11507101,"K00773.01","CONFIRMED",38.3775486,172.82048
10910878,"K00757.02","CONFIRMED",41.19725502,165.00404
10910878,"K00757.03","CONFIRMED",6.252962249,171.30126
10987985,"K00758.01","CONFIRMED",16.01308419,176.3608
11018648,"K00759.01","CONFIRMED",32.62876672,194.1019
11018648,"K00759.02","CONFIRMED",91.7732862,193.8378
11138155,"K00760.01","CONFIRMED",4.959319244,172.2585292
11152159,"K00761.01","FALSE POSITIVE",2.701287801,170.69579
11153539,"K00762.01","CONFIRMED",4.49876511,171.34905
11242721,"K00763.01","FALSE POSITIVE",19.651209505,179.401981
9579641,"K00115.01","CONFIRMED",5.412203927,133.143089
