kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
10797460,K00752.01,CONFIRMED,9.48803557,170.53875
10797460,K00752.02,CONFIRMED,54.4183827,162.51384
10811496,K00753.01,CANDIDATE,19.89913995,175.850252
10848459,K00754.01,FALSE POSITIVE,1.736952453,170.307565
10854555,K00755.01,CONFIRMED,2.525591777,171.59555
10872983,K00756.01,CONFIRMED,11.09432054,171.20116
10872983,K00756.02,CONFIRMED,4.13443512,172.97937
10872983,K00756.03,CONFIRMED,2.56658897,179.55437
6721123,K00114.01,FALSE POSITIVE,7.36178958,132.25053
10910878,K00757.01,CONFIRMED,16.06864674,173.621937
11446443,K00001.01,CONFIRMED,2.470613377,122.763305
10666592,K00002.01,CONFIRMED,2.204735417,121.3585417
6922244,K00010.01,CONFIRMED,3.522498429,121.1194228
10984090,K00112.02,CONFIRMED,3.709214104,133.98318
10419211,K00742.01,FALSE POSITIVE,11.52144606,170.839688
10464078,K00743.01,FALSE POSITIVE,19.40393776,172.484253
10480982,K00744.01,FALSE POSITIVE,19.22138894,184.5521637
10485250,K00745.01,FALSE POSITIVE,16.46983774,180.881761
10526549,K00746.01,CONFIRMED,9.27358173,173.258155
10583066,K00747.01,CONFIRMED,6.02930329,171.602959
10583180,K00748.01,FALSE POSITIVE,2.696370652,170.73769
10601284,K00749.01,CONFIRMED,5.349553819,171.80694
10601284,K00749.02,CONFIRMED,3.94105221,136.08662
10601284,K00749.03,CONFIRMED,8.10904807,132.8031
