kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
10811496,K00753.01,CANDIDATE,19.89913995,175.850252
10797460,K00752.01,CONFIRMED,9.48803557,170.53875
10797460,K00752.02,CONFIRMED,54.4183827,162.51384
10854555,K00755.01,CONFIRMED,2.525591777,171.59555
10872983,K00756.01,CONFIRMED,11.09432054,171.20116
10872983,K00756.02,CONFIRMED,4.13443512,172.97937
10419211,K00742.01,FALSE POSITIVE,11.52144606,170.839688
10464078,K00743.01,FALSE POSITIVE,19.40393776,172.484253
10480982,K00744.01,FALSE POSITIVE,19.22138894,184.5521637
10485250,K00745.01,FALSE POSITIVE,16.46983774,180.881761
10583180,K00748.01,FALSE POSITIVE,2.696370652,170.73769
