\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   120.5391965  2.4845645e+05 
 0   120.5596311  2.4855261e+05 
 0   120.5800657  2.4856439e+05 
 0   120.6005004  2.4855525e+05 
 0   120.6209351  2.4859002e+05 
 0   120.6413696  2.4856878e+05 
 0   120.6618042  2.4859814e+05 
 0   120.6822390  2.4862295e+05 
 0   120.7026735  2.4859653e+05 
 0   120.7231082  2.4861702e+05 
 0   120.7435429  2.4857225e+05 
 0   120.7639775  2.4858641e+05 
 0   120.7844121  2.4862339e+05 
 0   120.8048468  2.4856594e+05 
 0   120.8252814  2.4865139e+05 
 0   120.8457160  2.4859481e+05 
 0   120.8661507  2.4856653e+05 
 0   120.8865854  2.4864502e+05 
 0   120.9070200  2.4855394e+05 
 0   120.9274546  2.4863155e+05 
 0   120.9478894  2.4856389e+05 
 0   120.9683239  2.4857134e+05 
 0   120.9887586  2.4856272e+05 
 0   121.0091931  2.4854805e+05 
 0   121.0296278  2.4858494e+05 
 0   121.0500625  2.4855638e+05 
 0   121.0704971  2.4857475e+05 
 0   121.0909318  2.4858869e+05 
 0   121.1113664  2.4856781e+05 
 0   121.1318011  2.4860302e+05 
 0   121.1522356  2.4858688e+05 
 0   121.1726703  2.4852739e+05 
 0   121.1931050  2.4860197e+05 
 0   121.2135395  2.4857047e+05 
 0   121.2339743  2.4861609e+05 
 0   121.2544089  2.4863592e+05 
 0   121.2748435  2.4864434e+05 
 0   121.2952781  2.4859002e+05 
 0   121.3157129  2.4864336e+05 
 0   121.3361475  2.4858956e+05 
 0   121.3565820  2.4863108e+05 
 0   121.3770168  2.4854033e+05 
 0   121.3974514  2.4860278e+05 
 0   121.4178860  2.4852714e+05 
 0   121.4383206  2.4851655e+05 
 0   121.4587554  2.4857056e+05 
 0   121.4791899  2.4847369e+05 
 0   121.4996245  2.4849392e+05 
 0   121.5200592  2.4855397e+05 
 0   121.5404939  2.4856431e+05 
 0   121.5609286  2.4861966e+05 
 0   121.5813631  2.4860652e+05 
 0   121.6017979  2.4858869e+05 
 0   121.6222325  2.4861972e+05 
 0   121.6426670  2.4857419e+05 
 0   121.6631017  2.4862384e+05 
 0   121.6835364  2.4856820e+05 
 0   121.7039710  2.4857877e+05 
 0   121.7244056  2.4866964e+05 
 0   121.7448404  2.4865731e+05 
 0   121.7652749  2.4863612e+05 
 0   121.7857095  2.4858661e+05 
 0   121.8061442  2.4859438e+05 
 0   121.8265788  2.4865162e+05 
 0   121.8470135  2.4860870e+05 
 0   121.8674481  2.4855495e+05 
 0   121.8878828  2.4860012e+05 
 0   121.9083174  2.4853702e+05 
 0   121.9287520  2.4859853e+05 
 0   121.9491866  2.4856153e+05 
 0   121.9696213  2.4858031e+05 
 0   121.9900560  2.4859595e+05 
 0   122.0104905  2.4859512e+05 
 0   122.0309253  2.4866164e+05 
 0   122.0513599  2.4863472e+05 
 0   122.0717945  2.4860705e+05 
 0   122.0922291  2.4858720e+05 
 0   122.1126638  2.4853377e+05 
 0   122.1330985  2.4858014e+05 
 0   122.1535330  2.4857341e+05 
 0   122.1739677  2.4859148e+05 
 0   122.1944024  2.4868212e+05 
 0   122.2148369  2.4861042e+05 
 0   122.2352716  2.4865381e+05 
 0   122.2557063  2.4864027e+05 
 0   122.2761409  2.4862339e+05 
 0   122.2965755  2.4863239e+05 
 0   122.3170102  2.4857416e+05 
 0   122.3374448  2.4856608e+05 
 0   122.3578794  2.4856716e+05 
 0   122.3783141  2.4854398e+05 
 0   122.3987488  2.4854108e+05 
 0   122.4191833  2.4853702e+05 
 0   122.4396180  2.4855367e+05 
 0   122.4600527  2.4858789e+05 
 0   122.4804873  2.4855075e+05 
 0   122.5009219  2.4864322e+05 
 0   122.5213564  2.4863367e+05 
 0   122.5417912  2.4865800e+05 
 0   122.5622258  2.4864498e+05 
 0   122.5826605  2.4855394e+05 
 0   122.6030951  2.4860280e+05 
 0   122.6235298  2.4865422e+05 
 0   122.6439644  2.4863869e+05 
 0   122.6643989  2.4868266e+05 
 0   122.6848337  2.4861695e+05 
 0   122.7052683  2.4865064e+05 
 0   122.7257029  2.4866586e+05 
 0   122.7461376  2.4862336e+05 
 0   122.7665722  2.4866427e+05 
 0   122.7870068  2.4866394e+05 
 0   122.8074414  2.4861347e+05 
 0   122.8278762  2.4862847e+05 
 0   122.8483108  2.4854981e+05 
 0   122.8687454  2.4857477e+05 
 0   122.8891801  2.4856964e+05 
 0   122.9096147  2.4856078e+05 
 0   122.9300494  2.4863302e+05 
 0   122.9504839  2.4855955e+05 
 0   122.9709186  2.4857328e+05 
 0   122.9913533  2.4859075e+05 
 0   123.0117878  2.4857022e+05 
 0   123.0322226  2.4863798e+05 
